LOT,POLLOT
RNX,NEXTIME
MLA,MILE-AIR
AAA,ANSETT
AAF,AIGLE AZUR
AAH,ALOHA
AAL,AMERICAN
AAR,ASIANA
AAS,AL-AAS
AAW,AFRIQIYAH
AAY,ALLEGIANT
TUS,ABSA Cargo
ACP,ASTRAL CARGO
ADE,ADA AIR
ADR,ADRIA
AEA,EUROPA
AEB,AEROBEN
AEE,AEGEAN
AEL,AIR EUROPE
AER,ACE AIR
AEU,FLYSTAR
AEW,AEROSVIT
AEY,AIR ITALY
UTY,UNITY
AFG,ARIANA
AFL,AEROFLOT
BON,AIR BOSNA
AFR,AIRFRANS
ACI,AIRCALIN
SNC,NIGHT CARGO
NMB,NAMIBIA
SLI,COSTERA
AGV,AIR GLACIERS
PLI,Aeroperu
BMM,ATLAS BLUE
AHY,AZAL
AIA,AVIES
ABQ,PAKBLUE
BER,AIR BERLIN
AIC,AIRINDIA
BUB,BOURBON
ABD,ATLANTA
THT,TAHITI AIRLINES
AIZ,ARKIA
AJM,JAMAICA
ADH,HERON
RSH,SAHARA
AMC,AIR MALTA
AJX,AIR JAPAN
AWE,CACTUS
AWI,AIR WISCONSIN
TAK,TATARSTAN
AML,MALAWI
AMU,AIR MACAO
SEY,SEYCHELLES
AMX,AEROMEXICO
ANA,ALL NIPPON
ANE,AIR NOSTRUM
ANG,NUIGINI
ABY,ARABIA
ACA,AIR CANADA
BTI,AIRBALTIC
ANK,ANK AIR
ANO,TOPEND
ANT,AIR NORTH
ANZ,NEW ZEALAND
SMX,ALIEXPRESS
ARF,Aero Fox
APW,BIG A
ARD,AEROCONDOR
ARG,ARGENTINA
ASD,AIR SINAI
ASQ,ACEY
ASZ,AIR ASTRAKHAN
ATC,TANZANIA
VBW,BURKINA
ATM,AIRTAS
AUA,AUSTRIAN
AUB,AUGSBURG-AIR
AUH,SULTAN
AUL,DVINA
AUR,AYLINE
AUT,AUSTRAL
AVN,AIR VAN
BGD,AIR BANGLA
BIE,MEDITERRANEE
AWU,SYLT-AIR
AWW,RED DRAGON
FWI,FRENCH WEST
AXB,EXPRESS INDIA
AXL,EXEL COMMUTER
AXM,ASIAN EXPRESS
AYZ,ATLANT-SOYUZ
AZA,ALITALIA
AZW,AIR ZIMBABWE
OCA,AROSCA
SDM,PULKOVO
EGF,EAGLE FLIGHT
VUN,AIRIVOIRE
BOT,BOTSWANA
UPA,FOYLE
VTA,AIR TAHITI
WTA,WEST TOGO
VAS,ATRAN
CCA,AIR CHINA
CDP,CONDOR-PERU
CVA,CHATHAM
CWM,AIR MARSHALLS
CYD,CYCLONE
DAH,AIR ALGERIE
DHI,ADAM SKY
DLA,DOLOMOTI
DNV,DONAVIA
DRD,ALADA AIR
EIN,SHAMROCK
FIF,AIR FINLAND
FJI,PACIFIC
FLI,FAROELINE
FLZ,AIR FLORIDA
FXI,FAXI
GAP,ORIENT PACIFIC
GIP,FUTURE EXPRESS
GRL,GREENLAND
GTI,GIANT
GUY,GREEN BIRD
JAB,AIR BAGAN
JZA,JAZZ
KKK,ATLASJET
KOR,AIR KORYO
KZR,ASTANALINE
LBC,ALBANIAN
LNE,LAN ECUADOR
LXR,AIRLUXOR
MAU,AIRMAURITIUS
MDG,AIR MADAGASCAR
MLD,AIR MOLDOVA
MPD,RED COMET
NIG,AEROLINE
PEL,PELICAN
REA,AER ARANN
REU,REUNION
RIT,ASIAN SPIRIT
RKA,AIRAFRIC
RLA,AIRLINAIR
RLN,AERO LANKA
RNE,AIR SALONE
RNV,ARMAVIA
RPB,AEROREPUBLICA
RSR,CONGOSERV
RSU,AEROSUR
SMJ,AVAVIA
SYL,AIR YAKUTIA
TAO,TRANS-AEROMAR
TFL,ARKEFLY
TOK,BALUS
TRS,CITRUS
TSC,TRANSAT
TWN,TWINARROW
TYR,TYROLEAN
GLG,AEROGAL
DRU,MIRNY
BAW,SPEEDBIRD
BBC,BANGLADESH
BHP,BELAIR
BHS,BAHAMAS
BIH,BRINTEL
BKP,BANGKOK AIR
BLF,BLUEFIN
BLS,BEARSKIN
BLV,BELLVIEW AIRLINES
BMA,MIDLAND
BMI,BABY
BMJ,BEMIDJI
BPA,BLUE PANOROMA
BRG,BERING AIR
BRU,BELARUS AVIA
BTV,BATAVIA
BVT,BERJAYA
BWG,BLUE WINGS
BZH,BRITAIR
DAT,BEE-LINE
JOR,BLUE TRANSPORT
LAJ,BEE MED
LZB,FLYING BULGARIA
NKF,NORDFLIGHT
ICL,CAL
CLI,CALIMA
CDN,CANADIAN
MPE,EMPRESS
KAP,CAIR
BWA,CARIBBEAN AIRLINES
KRP,CARPATAIR
CPN,CASPIAN
CPA,CATHAY
CAY,CAYMAN
CEB,CEBU AIR
CLW,CENTRALWINGS
CHQ,CHAUTAUQUA
CAL,DYNASTY
CES,CHINA EASTERN
CSN,CHINA SOUTHERN
CUA,LIANHANG
CYH,YUNNAN
CIM,CIMBER
RUS,CIRRUS AIR
SDR,SWEDESTAR
CIX,CONNEXION
BCY,CITY-IRELAND
CFE,FLYER
CJC,COLGAN
COM,COMAIR
CAW,COMMERCIAL
UCA,COMMUTAIR
CWK,CONTICOM
CFG,CONDOR
CHP,AVIACSA
KIS,CONTACTAIR
COA,CONTINENTAL
CMI,AIR MIKE
VCV,CONVIASA
CMP,COPA
CRL,CORSAIR
CCM,CORSICA
CTN,CROATIA
CUB,CUBANA
CYP,CYPRUS
CSA,CSA-LINES
DTR,DANISH
DAO,DALO AIRLINES
KHB,DALAVIA
DWT,DARWIN
DAL,DELTA
DJB,DJIBOUTI AIR
DOA,DOMINICANA
DMO,DOMODEDOVO
DRK,ROYAL BHUTAN
BAG,SPEEDWAY
EVA,EVA
UGX,CRANE
EZE,EASTFLIGHT
EDW,EDELWEISS
MSR,EGYPTAIR
ELY,ELAL
BRQ,BURAQAIR
UAE,EMIRATES
EEA,ECUATORIANA
ERT,ERITREAN
ELL,ESTONIAN
ETH,ETHIOPIAN
ETD,ETIHAD
ECA,EUROCYPRIA
EEU,EUROFLY
ELO,EUROLOT
EAL,STAR WING
EWG,EUROWINGS
EIA,EVERGREEN
XLA,EXPO
LHN,LONGHORN
BTA,JET LINK
EZY,EASY
EFA,Far Eastern
FIN,FINNAIR
WBA,WESTBIRD
FFM,FIREFLY
FCA,JETSET
FLT,FLIGHTLINE
FWL,FLO WEST
XAX,XANADU
LIL,LITHUANIA AIR
NDC,NORDIC
BBO,BABOO
BEE,JERSEY
GSM,GLOBESPAN
FRE,FREEDOM
FFT,FRONTIER FLIGHT
FTA,FRONTIER-AIR
GBL,GEEBEE AIRWAYS
GIA,INDONESIA
GZP,GAZPROMAVIA
TGZ,TAMAZI
GFG,NATIONAL
GMI,GERMANIA
GWI,GERMAN WINGS
GHB,GHANA AIRLINES
GOW,GOAIR
GJS,GATEWAY
GAO,GOLDEN
GLA,LAKES AIR
TAT,TACA-COSTARICA
GBA,GULF BAHRAIN
HAG,HAGELAND
CHH,HAINAN
HHI,HAMBURG JET
HLX,YELLOW CAB
HLF,HAPAG LLOYD
HAL,HAWAIIAN
HFR,HELIFRANCE
JBA,HELIJET
HEJ,HELLAS JET
FHE,FLYHELLO
OAW,HELVETIC
HER,HEX AIRLINE
ADO,AIR DO
CRK,BAUHINIA
HKE,HONGKONG SHUTTLE
QXE,HORIZON AIR
IBE,IBERIA
IBX,IBEX
ICE,ICEAIR
ITX,IMPROTEX
IGO,IFLY
IAC,INDAIR
AWQ,WAGON AIR
IAA,INDO LINES
ILN,INLINE
ITK,INTERLINK
ISK,INTERSKY
IRA,IRANAIR
IAW,IRAQI
ISW,PINTADERA
ISR,ISRAIR
IKA,ITEK-AIR
JEX,JANEX
JAZ,JALWAYS
JAL,JAPANAIR
JAA,ASIA
JTA,JAI OCEAN
JZR,JAZEERA
JJA,JEJU AIR
JAI,JET AIRWAYS
JSA,JETSTAR ASIA
EXS,CHANNEX
JFU,ARGAN
JBU,JETBLUE
JAF,BEAUTY
JST,JETSTAR
DKH,JUNEYAO AIRLINES
KNI,KALININGRAD AIR
KLC,CITY
KLM,KLM
KMF,KAMGAR
MVD,AIR MINVODY
KEN,KENMORE
KQA,KENYA
KFR,KINGFISHER
IRK,KISHAIR
KGL,KOGALYM
KAL,KOREANAIR
KJC,KRASNOJARSKY AIR
KIL,AIR KUBAN
KAC,KUWAITI
KZU,KUZU CARGO
LRC,LACSA
LAN,LAN
DSM,LAN AR
LXP,LANEX
LPE,LANPERU
LTE,FUN JET
LTO,BILLA TRANSPORT
LAO,LAO
LDA,LAUDA AIR
LIA,LIAT
LAA,LIBAIR
LAM,MOZAMBIQUE
LNI,LION INTER
LGW,WALTER
DLH,LUFTHANSA
CLH,HANSALINE
LTR,LUFT TRANSPORT
LGL,LUXAIR
LPR,LAPA
MAA,MAS CARGA
MAK,MAKAVIO
MGL,MONGOL AIR
MNB,BLACK SEA
IRM,MAHAN AIR
MAS,MALAYSIAN
SCW,Scanwings
MAC,MALTA CHARTER
MAH,MALEV
MDL,MANDALA
MDA,Mandarin
MNO,TULCA
MPH,MARTINAIR
MXL,MAXAIR
MYD,MYLAND
ISS,MERAIR
MNA,MERPATI
ASH,AIR SHUTTLE
MES,MESABA
MXA,MEXICANA
MEA,CEDAR JET
MDW,MIDWAY
MDV,MOLDAVIAN
MGX,MONTAIR
GAI,GROMOV AIRLINE
MSI,MOTOR SICH
MYT,KESTREL
UBA,UNIONAIR
NAS,NASAIRWAYS
NJS,NATIONAL JET
NTW,NATIONWIDE
RON,AIR NAURU
RNA,ROYAL NEPAL
EJA,EXECJET
NEA,NEW ENGLAND
NTJ,NEXTJET
NLY,FLYNIKI
NOK,NOK AIR
NWA,NORTHWEST
PLR,POLARIS
NAX,NOR SHUTTLE
LBT,NOUVELAIR
KNE,NAS EXPRESS
OHK,OASIS
ONE,OCEANAIR
OAL,OLYMPIC
OMA,OMAN AIR
OAE,OMNI-EXPRESS
OHY,ONUR AIR
ORB,ORENBURG
OEA,ORIENT THAI
OGN,ORIGIN
OLT,OLTRA
OLA,OVERLAND
OZJ,AUSJET
PNR,SKYJET
PBA,PEEBEE AIR
PUA,PLUNA
PMT,MULTITRADE
PIC,PACIFIC AIRLINES
PCO,PASCO
PEC,PAC-EAST CARGO
NMI,TSUNAMI
PIA,PAKISTAN
PMW,PARAWAY
PGT,SUNTURK
PEN,PENINSULA
PAL,PHILIPPINE
PDT,PIEDMONT
FLG,FLAGSHIP
PAO,POLYNESIAN
POE,PORTER AIR
PGA,PORTUGALIA
PDC,DISTRICT
PRF,PRECISION AIR
QFA,QANTAS
QTR,QATARI
RXA,REX
RPA,BRICKYARD
RPH,PUBLIC EXPRESS
RAM,ROYALAIR MAROC
RBA,BRUNEI
RJA,JORDANIAN
RWD,RWANDAIR
RYN,RYAN INTERNATIONAL
RYR,RYANAIR
RAE,REGIONAL EUROPE
RZO,AIR AZORES
SAA,SPRINGBOK
SAI,SHAHEEN AIR
SAS,SCANDINAVIAN
SBI,SIBERIAN AIRLINES
SBS,SEABORNE
ALK,SRILANKAN
SCX,SUN COUNTRY
SEJ,SPICEJET
SFJ,STARFLYER
SGY,SKAGWAY AIR
SAT,SATA
SIA,SINGAPORE
SIB,SIBAVIA
SIH,BLUEJET
SJY,SRIWIJAYA
SMY,NAJIM
SRH,SIEMREAP AIR
SRQ,SEAIR
SSV,SKYTOUR
STU,FUEGUINO
SUD,SUDANAIR
SVA,SAUDIA
SWA,SOUTHWEST
SWD,SOUTHERN WINDS
SWR,SWISS
SWV,FLYING SWEDE
SXS,SUNEXPRESS
SYR,SYRIANAIR
SYX,SKYWAY-EX
CDG,SHANDONG
CQH,AIR SPRING
CSC,SI CHUAN
CSH,SHANGHAI AIR
CSZ,SHENZHEN AIR
ERO,ECHO ROMEO
ESK,RELAX
JKK,SPANAIR
NKS,SPIRIT WINGS
NSE,SATENA
BBR,SANTA BARBARA
SKU,AEROSKY
SKW,SKYWEST
SKX,SKY EXPRESS
SKY,SKYMARK
SLK,SILKAIR
SLM,SURINAM
SNB,STERLING
SNJ,NEWSKY
SOL,SOLOMON
SOV,SARATOV AIR
SOZ,SATCO
TCF,MERCURY
VSV,VLASTA
TAE,TAME
TAM,TAM
TAP,AIR PORTUGAL
TAR,TUNAIR
TCG,THAI CARGO
TCW,THOMAS COOK
TGW,GO CAT
THA,THAI
AIQ,THAI ASIA
THY,TURKAIR
TJT,TWINJET
TNM,TIARA
TOM,TOMSON
TOS,TROPISER
TPA,TAMPA
TNA,TransAsia
TRA,TRANSAVIA
TCV,CABOVERDE
ABS,ATHABASKA
TSO,TRANSOVIET
TUA,TURKMENISTAN
TVS,SKYTRAVEL
BLX,BLUESCAN
DTA,DTA
LAP,PARAGUAYA
LOF,WATERSKI
ROT,TAROM
URN,TURAN
TIB,TRIP
GWY,GETAWAY
UAL,UNITED
SVR,SVERDLOVSK AIR
UKM,UKRAINE MEDITERRANEE
USA,U S AIR
UTA,UTAIR
UZB,UZBEK
AUI,UKRAINE INTERNATIONAL
VLU,VALUAIR
HVN,VIET NAM AIRLINES
MOV,MOV AIR
VOI,VOLARIS
VDA,VOLGA-DNEPR
VRD,REDWOOD
VEX,VIRGIN EXPRESS
VGN,VIRGIN NIGERIA
VIR,VIRGIN
VVM,JACKPOT
VLE,VOLA
VLG,VUELING
VLK,VLADAIR
VLO,VELOG
VRN,VARIG
VSP,VASP
VLM,RUBENS
WEB,WEB-BRASIL
WLC,WELCOMEAIR
WJA,WESTJET
WIF,WIDEROE
JET,GHIBLI
WON,WINGS ABADI
WZZ,WIZZ AIR
WVL,WIZZBUL
WOA,WORLD
SEU,STARWAY
CXA,XIAMEN AIR
LLM,YAMAL
IYE,YEMENI
OOM,ZOOM
SXR,SKYSTORM
ABL,Air Busan
KZK,Kazakh
JAS,Air System
UBD,UNITED BANGLADESH
FFV,SWIFT TANGO
TVF,FRENCH SUN
UIA,Glory
RWZ,AIR RED
GBK,GABON AIRLINES
MAV,Maldivo
ESR,Eastar
JNA,Jin Air
BA1,Baltic
YCC,Ciel
YCP,CaNational
4AA,Epic
LBL,Bluebird
TXW,TXW
DSY,DSY
A1F,atifly
CA1,CAX
SHA,SHARP
WE1,WEA
LOC,LOCAIR
SQH,SASQUATCH
MXI,LINK
REP,REGIOPAR
LMU,ALMASRIA
KBR,KORAL BLUE
IMP,IMPERIAL
AAN,AMSTEL
STP,SAOTOME AIRWAYS
MJX,GEO-LINE
VKH,DELPHI
GDR,GADAIR
MNP,MANILA SKY
CQN,CHONG QING
CHB,WEST CHINA
JOY,JOY AIR
IPV,IPV
EUV,EuropeSky
BZE,BRAZIL AIR
KSY,KSY
KOL,SLOW FROG
WAU,WIZZAIR UKRAINE
LOO,slowbird
LIX,LIX
MDO,Domenican
YZZ,Moscow frog 
ZZZ,Lakeair
1QA,MARSHAK AIR
BSA,Stallion
MKG,Air Mekong
AHO,Air Hamburg
ZTT,BAIKAL 
FBL,FBL
HYM,Himalayan
IG1,Indya1
SKV,Sky Regional
UWW,moose
LJJ,russian sky
ZTF,Mongol_AIr 
TWB,TWAY AIR
NXB,XB
WER,sovet
ES2,USKY
HNX,HNX
MRS,snowball
ERR,ERAH
RRJ,russiancloud
VKJ,Vickjet
SLC,SALSA
N12,12N
AWM,Asian Star
NIA,NILEBIRD
CX0,Copex
AI0,AIPL
MJG,MJG
KGO,KORONGO
NGB,Nordic Global
ZNA,ZENITH
OAB,Orbitaz
RBY,RUBY
RAW,RAW
FHI,FLYHIRELAND
TJA,T.J. Air
QER,russian doll
MXD,Malindo
M1F,Maryland Flight
IWA,APACHE
JTO,JETHAPPY
EAV,EAVA
XAU,XAIR
XPT,XPTO
ASL,AIR SERBIA
LTU,LITUANICA
RAB,Rainbow
RAY,Rainbow CAN
RPO,Rainbow Air
DOB,DOBROLET
SAL,Spike Air
FPT,FlyPortugal
DWA,DENSE
DC2,DC2
SAE,ADLER EXPRESS
OTJ,TENDER AIR
GTA,CITY AIR
NLH,NORSTAR
TNU,TRANSNUSA
RXR,Rexair
WEN,Encore
BSX,5B
PYB,BOPY
SJM,RussianConnecty
